122,倩女幽魂,1987,8.7,632834人评价
123,侧耳倾听,1995,8.9,396247人评价
124,爱在日落黄昏时,2004,8.9,453503人评价
125,借东西的小人阿莉埃蒂,2010,8.9,469462人评价
126,甜蜜蜜,1996,8.9,446876人评价
127,萤火之森,2011,8.9,447607人评价
128,驯龙高手,2010,8.7,654332人评价
129,幸福终点站,2004,8.8,472775人评价
130,玛丽和马克思,2009,8.9,379675人评价
131,时空恋旅人,2013,8.8,526093人评价
132,大鱼,2003,8.8,494186人评价
133,告白,2010,8.8,600404人评价
134,阳光姐妹淘,2011,8.8,531688人评价
135,怪兽电力公司,2001,8.7,565334人评价
136,射雕英雄传之东成西就,1993,8.7,553532人评价
137,神偷奶爸,2010,8.6,828945人评价
138,傲慢与偏见,2005,8.7,673128人评价
139,教父3,1990,9.0,306959人评价
140,恐怖直播,2013,8.7,558821人评价
141,玩具总动员3,2010,8.9,435142人评价
142,釜山行,2016,8.6,1018308人评价
143,一个叫欧维的男人决定去死,2015,8.9,368290人评价
144,哪吒闹海,1979,9.1,217797人评价
145,血战钢锯岭,2016,8.7,683394人评价
146,被解救的姜戈,2012,8.8,517904人评价
147,未麻的部屋,1997,9.0,256603人评价
148,头号玩家,2018,8.7,1183706人评价
149,七武士,1954,9.3,165245人评价
150,我是山姆,2001,9.0,276297人评价
151,喜宴,1993,8.9,294116人评价
152,寄生虫,2019,8.8,1175715人评价
153,电锯惊魂,2004,8.7,448752人评价
154,新世界,2013,8.9,325500人评价
155,模仿游戏,2014,8.7,533196人评价
156,花样年华,2000,8.7,501075人评价
157,卢旺达饭店,2004,8.9,273956人评价
158,黑客帝国3：矩阵革命,2003,8.8,375562人评价
159,风之谷,1984,8.9,316288人评价
160,三块广告牌,2017,8.7,712228人评价
161,上帝之城,2002,9.0,265002人评价
162,疯狂原始人,2013,8.7,738508人评价
163,哈利·波特与火焰杯,2005,8.7,513081人评价
164,谍影重重3,2007,8.8,365220人评价
165,英雄本色,1986,8.6,450307人评价
166,你的名字。,2016,8.5,1190988人评价
167,头脑特工队,2015,8.7,511412人评价
168,达拉斯买家俱乐部,2013,8.8,386784人评价
169,纵横四海,1991,8.8,355397人评价
170,心迷宫,2014,8.7,430262人评价
171,岁月神偷,2010,8.7,518165人评价
172,记忆碎片,2000,8.7,527874人评价
173,忠犬八公物语,1987,9.2,164840人评价
174,海街日记,2015,8.8,369621人评价
175,荒蛮故事,2014,8.8,374658人评价
176,惊魂记,1960,9.0,226170人评价
177,爆裂鼓手,2014,8.7,489278人评价
178,贫民窟的百万富翁,2008,8.6,653890人评价
179,真爱至上,2003,8.6,622254人评价
180,九品芝麻官,1994,8.6,537397人评价
181,东邪西毒,1994,8.6,506624人评价
182,绿里奇迹,1999,8.9,264864人评价
183,小偷家族,2018,8.7,713901人评价
184,爱在午夜降临前,2013,8.8,314020人评价
185,无敌破坏王,2012,8.7,457636人评价
186,黑天鹅,2010,8.6,706648人评价
187,冰川时代,2002,8.6,534582人评价
188,你看起来好像很好吃,2010,8.9,290130人评价
189,萤火虫之墓,1988,8.7,364711人评价
190,疯狂的石头,2006,8.5,694636人评价
191,雨人,1988,8.7,354776人评价
192,雨中曲,1952,9.1,180841人评价
193,恐怖游轮,2009,8.5,690972人评价
194,恋恋笔记本,2004,8.6,568737人评价
195,色，戒,2007,8.5,616909人评价
196,魔女宅急便,1989,8.7,394255人评价
197,2001太空漫游,1968,8.8,259486人评价
198,城市之光,1931,9.3,118379人评价
199,可可西里,2004,8.8,256392人评价
200,二十二,2015,8.7,261096人评价
201,虎口脱险,1966,8.9,210886人评价
202,人工智能,2001,8.7,379478人评价
203,奇迹男孩,2017,8.6,490108人评价
204,海边的曼彻斯特,2016,8.6,419767人评价
205,初恋这件小事,2010,8.4,876905人评价
206,遗愿清单,2007,8.7,356670人评价
207,大佛普拉斯,2017,8.7,362010人评价
208,罗生门,1950,8.8,265088人评价
209,终结者2：审判日,1991,8.8,298057人评价
210,牯岭街少年杀人事件,1991,8.9,230209人评价
211,房间,2015,8.8,330749人评价
212,青蛇,1993,8.6,446848人评价
213,源代码,2011,8.5,707493人评价
214,无间道2,2003,8.6,374028人评价
215,新龙门客栈,1992,8.6,380293人评价
216,东京教父,2003,9.0,164753人评价
217,疯狂的麦克斯4：狂暴之路,2015,8.6,450588人评价
218,魂断蓝桥,1940,8.8,238562人评价
219,波西米亚狂想曲,2018,8.7,501730人评价
220,无耻混蛋,2009,8.6,408620人评价
221,步履不停,2008,8.8,234207人评价
222,血钻,2006,8.7,318094人评价
223,彗星来的那一夜,2013,8.5,461056人评价
224,燃情岁月,1994,8.8,250983人评价
225,战争之王,2005,8.7,308094人评价
226,千钧一发,1997,8.8,234806人评价
227,茶馆,1982,9.5,81147人评价
228,谍影重重2,2004,8.7,306310人评价
229,黑客帝国2：重装上阵,2003,8.6,335363人评价
230,海洋,2009,9.1,143636人评价
231,崖上的波妞,2008,8.6,402873人评价
232,阿飞正传,1990,8.5,431846人评价
233,穿越时空的少女,2006,8.6,337170人评价
234,谍影重重,2002,8.6,367013人评价
235,地球上的星星,2007,8.9,179802人评价
